frame,n_total,vx_raw,vy_raw,vx_apply,vy_apply,vx_smooth,vy_smooth,vx_kalman,vy_kalman,inlier_fraction,ego_fit_inliers,ego_fit_coverage,ego_fit_score,speed_apply,speed_smooth,n_static,n_moving,n_uncertain,static_fraction,use_vr_comp,compensate_mode
0000000070_99418_000000000571.bin,466,2.736880246440088,0.47798621328451874,2.736880246440088,0.47798621328451874,2.736880246440088,0.47798621328451874,2.736880246440088,0.47798621328451874,0.14814814814814814,68,1.0,0.14814814814814814,2.77830601328292,2.77830601328292,77,389,0,0.16523605150214593,False,kalman
0000000071_09864_000000000572.bin,452,2.767108968157684,0.6631444830974283,2.7531877950910877,0.5778739135094098,2.7444374268694873,0.5242757807377462,2.7531877950910877,0.5778739135094098,0.15883668903803133,71,1.0,0.15883668903803133,2.813179925805174,2.7940654760170145,73,379,0,0.16150442477876106,False,kalman
0000000071_22847_000000000573.bin,437,2.84037860892283,0.7410139646404865,2.7878832287907427,0.6427914728144483,2.768422722382823,0.5784603267134312,2.7878832287907427,0.6427914728144483,0.16435185185185186,71,1.0,0.16435185185185186,2.86102669943775,2.8282115761355144,74,363,0,0.16933638443935928,False,kalman
0000000071_35374_000000000574.bin,456,2.7321513777066446,-0.634788436729233,2.769593646054298,0.22352667174478644,2.746659915577116,-0.14948893135216731,2.769593646054298,0.22352667174478644,0.1603563474387528,72,1.0,0.1603563474387528,2.77859913216096,2.7507249285297326,79,377,0,0.17324561403508773,False,kalman
0000000071_47670_000000000575.bin,489,2.811195769677683,-0.7487268311575875,2.7823004891871177,-0.07343587897871115,2.772474257217343,-0.3891840912743354,2.7823004891871177,-0.07343587897871115,0.1646090534979424,80,1.0,0.1646090534979424,2.7832694516435614,2.799656722499008,71,418,0,0.14519427402862986,False,kalman
0000000071_59571_000000000576.bin,486,3.0584458009171747,0.47942742322756227,2.8565376710496446,0.07519244012570848,2.8868628746972758,-0.04173948547357631,2.8565376710496446,0.07519244012570848,0.14822546972860126,71,1.0,0.14822546972860126,2.8575271423343973,2.8871646025041624,77,409,0,0.15843621399176955,False,kalman
0000000071_71749_000000000577.bin,411,3.0710158936918655,0.2837369877556067,2.915208624363537,0.13224022459131876,2.9329011294459235,0.03962963283371944,2.915208624363537,0.13224022459131876,0.15441176470588236,63,1.0,0.15441176470588236,2.918206435563377,2.933168856868576,69,342,0,0.1678832116788321,False,kalman
0000000071_84522_000000000578.bin,449,3.030110140374035,-0.580500720055588,2.944759687622966,-0.0510667801737113,2.9717847338171683,-0.20842250832200354,2.944759687622966,-0.0510667801737113,0.14446952595936793,64,1.0,0.14446952595936793,2.945202443616842,2.979084497983233,63,386,0,0.1403118040089087,False,kalman
0000000071_97268_000000000579.bin,425,2.427992076371094,4.857930937646119,2.843397867648708,0.9118127271589875,2.6455091393495236,2.8313895592588696,2.843397867648708,0.9118127271589875,0.10144927536231885,42,1.0,0.10144927536231885,2.98601973924459,3.8749819925597064,49,376,0,0.11529411764705882,False,kalman
0000000072_08661_000000000580.bin,458,3.107282399414527,-0.7023909831298504,2.913571081510969,0.4825573197981735,2.9225730953885254,0.7111212338256376,2.913571081510969,0.4825573197981735,0.1415929203539823,64,1.0,0.1415929203539823,2.9532622663603374,3.00784422919249,68,390,0,0.14847161572052403,False,kalman
0000000072_20823_000000000581.bin,455,3.242844471792489,-0.8869019965426821,3.0101975684873987,0.08068444849805162,3.1147359212309036,-0.24769270439535412,3.0101975684873987,0.08068444849805162,0.16592920353982302,75,1.0,0.16592920353982302,3.011278695431043,3.1245690158511157,81,374,0,0.17802197802197803,False,kalman
0000000072_32431_000000000582.bin,450,3.271848330420877,0.4879512868393234,3.090580374769778,0.20580256827614984,3.177580884906893,0.046564892098516886,3.090580374769778,0.20580256827614984,0.18526785714285715,83,1.0,0.18526785714285715,3.0974250192734547,3.1779220521123266,82,368,0,0.18222222222222223,False,kalman
0000000072_44944_000000000583.bin,420,3.262444004899741,-0.459534969066774,3.130504571894512,0.05124359046754211,3.211526132904032,-0.1558750523675995,3.130504571894512,0.05124359046754211,0.13253012048192772,55,1.0,0.13253012048192772,3.1309239499253962,3.215306693657096,62,358,0,0.14761904761904762,False,kalman
0000000072_56916_000000000584.bin,435,3.3204091018061317,-0.6529751492816284,3.1843147026817693,-0.1482993193639192,3.255079320464872,-0.35471509113321104,3.1843147026817693,-0.1482993193639192,0.16628175519630484,72,1.0,0.16628175519630484,3.187766116552324,3.2743494282674983,77,358,0,0.17701149425287357,False,kalman
0000000072_68949_000000000585.bin,485,3.382812508618184,-0.8579700352550876,3.2356279755607127,-0.33175488415934923,3.3061725957261965,-0.5560170687819617,3.2356279755607127,-0.33175488415934923,0.1496881496881497,72,1.0,0.1496881496881497,3.252591228450741,3.352600813325049,73,412,0,0.15051546391752577,False,kalman
0000000072_80342_000000000586.bin,419,3.315182060272823,-0.8153376167124583,3.256596358463579,-0.4592146863565855,3.3084249618628534,-0.6208472057645859,3.256596358463579,-0.4592146863565855,0.15217391304347827,63,1.0,0.15217391304347827,3.2888140674297506,3.366173938046416,68,351,0,0.162291169451074,False,kalman
0000000072_92225_000000000587.bin,483,3.5581667456147548,-0.8612873292052754,3.3353685679923952,-0.5642387597328778,3.370860407800829,-0.6809572366247583,3.3353685679923952,-0.5642387597328778,0.15,72,1.0,0.15,3.3827575825554717,3.4389537139936617,79,404,0,0.16356107660455488,False,kalman
0000000073_04943_000000000588.bin,458,3.742254581876837,0.7274864964034448,3.44733712448848,-0.20877652366743293,3.5936969122464335,0.16410900319216348,3.44733712448848,-0.20877652366743293,0.16043956043956045,73,1.0,0.16043956043956045,3.453653266717891,3.597442044289008,71,387,0,0.15502183406113537,False,kalman
0000000073_16501_000000000589.bin,474,3.770858352205619,0.6362016271567931,3.5328458253155053,0.014556530593149958,3.664561488230108,0.35294605277801533,3.5328458253155053,0.014556530593149958,0.1535181236673774,72,1.0,0.1535181236673774,3.532875814125385,3.6815189551584337,72,402,0,0.1518987341772152,False,kalman
0000000073_29283_000000000590.bin,465,3.799978769911385,-0.3439092792318084,3.6043792274174002,-0.08143417153751326,3.7187284009026187,0.07420391997408582,3.6043792274174002,-0.08143417153751326,0.15584415584415584,72,1.0,0.15584415584415584,3.605299036048474,3.7194686638576844,80,385,0,0.17204301075268819,False,kalman
0000000073_41750_000000000591.bin,471,3.889857260194667,0.7742543512042621,3.694674545317803,0.18921596021877904,3.787179944619438,0.3542240924661563,3.694674545317803,0.18921596021877904,0.19742489270386265,92,1.0,0.19742489270386265,3.6995165461747606,3.803709589415464,91,380,0,0.1932059447983015,False,kalman
0000000073_54615_000000000592.bin,398,3.927046784064155,0.3664766407594691,3.756637027163414,0.23648284441802425,3.822146654480617,0.3572872295394845,3.756637027163414,0.23648284441802425,0.16326530612244897,64,1.0,0.16326530612244897,3.7640730451944227,3.8388096088174746,79,319,0,0.1984924623115578,False,kalman
0000000073_66915_000000000593.bin,435,3.9628431273895646,0.6166547032160345,3.8185065805178944,0.3505486410941627,3.857320772707854,0.422129097958622,3.8185065805178944,0.3505486410941627,0.18981481481481483,82,1.0,0.18981481481481483,3.834563450411458,3.880350051078752,87,348,0,0.2,False,kalman
0000000073_79406_000000000594.bin,464,4.058058436464469,0.6403085639488333,3.886431218150391,0.4327097150818893,3.9075051886470074,0.4766739644561748,3.886431218150391,0.4327097150818893,0.17943107221006566,82,1.0,0.17943107221006566,3.910445666537279,3.936472388788425,83,381,0,0.1788793103448276,False,kalman
0000000073_90467_000000000595.bin,444,4.12705135350716,0.8438934456994556,3.9577204315250567,0.5545322910052393,3.9623917298620457,0.568478834766995,3.9577204315250567,0.5545322910052393,0.19090909090909092,84,1.0,0.19090909090909092,3.9963804968844494,4.002963453050399,96,348,0,0.21621621621621623,False,kalman
0000000074_02220_000000000596.bin,506,4.18020120471701,0.7606965268500965,4.015278817970345,0.607869397792969,4.0168440985757865,0.6165332577877705,4.015278817970345,0.607869397792969,0.16032064128256512,80,1.0,0.16032064128256512,4.0610305577297146,4.0638835822672785,98,408,0,0.19367588932806323,False,kalman
0000000074_17464_000000000597.bin,424,4.188063500693793,0.6958500480389964,4.068450372605625,0.634943950222432,4.059648949105288,0.6363624553505769,4.068450372605625,0.634943950222432,0.19856459330143542,83,1.0,0.19856459330143542,4.117698659965165,4.109222160525211,91,333,0,0.21462264150943397,False,kalman
0000000074_26414_000000000598.bin,469,4.160128471754272,0.5238108659938203,4.094591190312267,0.603255796530603,4.084768829767534,0.6082245580113878,4.094591190312267,0.603255796530603,0.18340611353711792,84,1.0,0.18340611353711792,4.138791438551912,4.129803083151614,95,374,0,0.2025586353944563,False,kalman
0000000074_39580_000000000599.bin,467,4.225076304877707,0.5993713204963963,4.130990178549281,0.6021722170131467,4.1198456985450775,0.6060112486326399,4.130990178549281,0.6021722170131467,0.1774891774891775,82,1.0,0.1774891774891775,4.174648636018742,4.164177975698165,94,373,0,0.2012847965738758,False,kalman
0000000074_51403_000000000600.bin,424,4.324544954065037,0.7319160939507313,4.18818197681495,0.640509094087079,4.171020512425067,0.6374874599621627,4.18818197681495,0.640509094087079,0.1909307875894988,80,1.0,0.1909307875894988,4.236876227897841,4.21945522273666,96,328,0,0.22641509433962265,False,kalman
0000000074_63791_000000000601.bin,443,4.128324204176901,-0.7126280052477635,4.173199800979832,0.30182395667236944,4.145402727476167,-0.172581819163793,4.173199800979832,0.30182395667236944,0.1536697247706422,67,0.9971428734164708,0.15334043437884784,4.1841001756314915,4.148993643918092,79,364,0,0.17832957110609482,False,kalman
0000000074_76089_000000000602.bin,477,4.477597894204357,0.799340879537921,4.269978674929444,0.46000210771055305,4.344719827513082,0.41057180005723537,4.269978674929444,0.46000210771055305,0.2068230277185501,97,1.0,0.2068230277185501,4.294685066853024,4.3640760285067834,98,379,0,0.20545073375262055,False,kalman
0000000074_87596_000000000603.bin,462,4.469321323124744,0.5243897714035202,4.32727530825897,0.4785089169205238,4.375870201415998,0.43902629289380657,4.32727530825897,0.4785089169205238,0.18655097613882862,86,1.0,0.18655097613882862,4.353651614109725,4.3978385720138204,94,368,0,0.20346320346320346,False,kalman
